GDA	Gda
GCC2	Gcc2
GCC1	Gcc1
VSIG2	Vsig2
VSIG1	Vsig1
MAD2L1	Mad2l1
HUWE1	Huwe1
VSIG8	Vsig8
VSIG4	Vsig4
MAD2L2	Mad2l2
MTFMT	Mtfmt
POMK	Pomk
TADA3	Tada3
ELL	Ell
ELN	Eln
ASZ1	Asz1
TADA1	Tada1
ZNRD1	Znrd1
POMC	Pomc
TAGLN2	Tagln2
TAGLN3	Tagln3
UHMK1	Uhmk1
C14orf101	6720456H20Rik
DNAAF3	6030429G01Rik
DNAAF2	1110034A24Rik
DNAAF1	Lrrc50
C14orf102	BC002230
C14orf105	1700011H14Rik
POLM	Polm
POLN	Poln
EMB	Emb
C14orf109	D230037D09Rik
POLQ	Polq
LOC100652815	Fmn1
EMD	Emd
UTP23	Utp23
GCDH	Gcdh
FAXC	Faxc
EN1	En1
EN2	En2
ATP13A3	Atp13a3
ATP13A2	Atp13a2
ATP13A5	Atp13a5
ATP13A4	Atp13a4
ATP13A1	Atp13a1
CSRNP3	Csrnp3
CSRNP2	Csrnp2
CSRNP1	Csrnp1
PON1	Pon1
C14orf118	1700020O03Rik
POMP	Pomp
PON2	Pon2
UTP20	Utp20
ENG	Eng
PON3	Pon3
C14orf119	1700123O20Rik
UTP18	Utp18
UTP15	Utp15
UTP11	Utp11
MTFR2	Mtfr2
MTFR1	Mtfr1
FAR1	Far1
FAR2	Far2
CTAGE5	Ctage5
BLZF1	Blzf1
C14orf126	6530401N04Rik
C14orf129	4933433P14Rik
LOC100652871	Gstt4
LOC100507055	Gm1679
ASTL	Astl
POGZ	Pogz
IL20RB	Il20rb
POGK	Pogk
IL20RA	Il20ra
C14orf135	1810048J11Rik
C14orf133	Vipar
C14orf132	D430019H16Rik
ASUN	4933424B01Rik
SNU13	Snu13
EHF	Ehf
OR5A1	Olfr76
GCGR	Gcgr
GCH1	Gch1
PLCL2	Plcl2
C14orf149	2810055F11Rik
SPATA9	Spata9
PLCL1	Plcl1
FAT3	Fat3
FAT4	Fat4
FAT1	Fat1
FAT2	Fat2
FASN	Fasn
SPATA2	Spata2
SPATA1	Spata1
C14orf142	AK010878
SPATA4	Spata4
SPATA3	Spata3
SPATA6	Spata6
SPATA5	Spata5
SPATA7	Spata7
SERGEF	Sergef
TECPR2	Tecpr2
TECPR1	Tecpr1
OR5B2	Olfr1451
IWS1	Iws1
OR5B3	Olfr1469
GAPDHS	Gapdhs
C14orf159	9030617O03Rik
HYDIN	Hydin
MTFP1	Mtfp1
GRPEL2	Grpel2
GRPEL1	Grpel1
KIAA0748	Tespa1
OR5L2	Olfr1156
TSSC4	Tssc4
MCM10	Mcm10
TSSC1	Tssc1
IL31RA	Il31ra
SRRM4	Srrm4
CASP8AP2	Casp8ap2
SRRM2	Srrm2
SRRM3	Srrm3
SRRM1	Srrm1
POC5	Poc5
A3GALT2	A3galt2
UCMA	Ucma
OR5M1	Olfr1023
PROKR2	Prokr2
PROKR1	Prokr1
OR5M3	Olfr1032
KIAA0754	D830031N03Rik
NR0B2	Nr0b2
SPOCD1	Spocd1
OR5M9	Olfr1034
KIAA0753	4933427D14Rik
NR0B1	Nr0b1
OR5M8	Olfr1031
UCN3	Ucn3
PLCE1	Plce1
UCN2	Ucn2
LYST	Lyst
C13orf33	6330406I15Rik
CD300LG	Cd300lg
CD300LF	Cd300lf
CD300LB	Cd300lb
CD300LD	Cd300ld
CGNL1	Cgnl1
GCLC	Gclc
PODN	Podn
HDGF	Hdgf
TRRAP	Trrap
GCLM	Gclm
KHDC3L	Khdc3
GCKR	Gckr
SBK1	Sbk1
SBK3	Sbk3
PLCH2	Plch2
PLCH1	Plch1
SBK2	Sbk2
EVC	Evc
INTS14	Ints14
SYCE3	Syce3
INTS13	Ints13
SYCE2	Syce2
SYCE1	Syce1
EVL	Evl
INTS12	Ints12
HEATR1	Heatr1
INTS11	Ints11
UCP1	Ucp1
INTS10	Ints10
GCN1	Gcn1l1
ATE1	Ate1
HEATR6	Heatr6
GCM2	Gcm2
HEATR8	Heatr8
HEATR9	Heatr9
LEPRE1	Lepre1
GCM1	Gcm1
UCP3	Ucp3
PLCG1	Plcg1
HEATR2	Heatr2
HEATR3	Heatr3
UCP2	Ucp2
PLCG2	Plcg2
IL3RA	Il3ra
OR5H1	Olfr196
TACR3	Tacr3
OR5H2	Olfr186
TACR2	Tacr2
TACR1	Tacr1
ESD	Esd
C21orf2	1810043G02Rik
C21orf7	ORF63
ACVR1C	Acvr1c
ACVR1B	Acvr1b
PLCB3	Plcb3
SBDS	Sbds
PLCB4	Plcb4
RSPRY1	Rspry1
NECAP2	Necap2
NECAP1	Necap1
MGLL	Mgll
PLCB1	Plcb1
PLCB2	Plcb2
OR5I1	Olfr152
IFNAR1	Ifnar1
IFNAR2	Ifnar2
ACVR2A	Acvr2a
ACVR2B	Acvr2b
SBF1	Sbf1
SBF2	Sbf2
NEMP1	Nemp1
NEMP2	Nemp2
TNNI3K	Tnni3k
OR5H6	Olfr187
CCM2L	Ccm2l
SPOCK3	Spock3
SPOCK2	Spock2
OR5J2	Olfr1052
MGMT	Mgmt
SPOCK1	Spock1
GON4L	Gon4l
EPX	Epx
THYN1	Thyn1
PLCD3	Plcd3
PLCD4	Plcd4
UCK1	Uck1
PLCD1	Plcd1
UCK2	Uck2
EPO	Epo
ERF	Erf
ERG	Erg
ERH	Erh
OR5K4	Olfr180
OR5K3	Olfr195
OR5K2	Olfr175-ps1
OR5K1	Olfr173
EDA2R	Eda2r
LOC646498	BC048562
ADNP2	Adnp2
GMCL1	Gmcl1
ARPM1	Arpm1
TSSK2	Tssk2
TSSK4	Tssk4
TSSK3	Tssk3
TSSK6	Tssk6
F2R	F2r
RETSAT	Retsat
SLC52A1	Slc52a2
SLC52A2	Slc52a2
SLC52A3	Slc52a3
OGN	Ogn
ZNF777	Zfp777
ZNF775	Zfp775
ZNF773	Zfp773
MYRFL	Myrfl
OGT	Ogt
QRFP	Qrfp
ZNF790	Zfp790
EOMES	Eomes
UBE2J1	Ube2j1
ZNF791	Zfp791
UBE2J2	Ube2j2
ZNF787	Zfp787
EIF2AK1	Eif2ak1
ZNF784	Zfp784
ZNF786	Zfp786
EIF2AK2	Eif2ak2
EIF2AK3	Eif2ak3
EIF2AK4	Eif2ak4
IGFBPL1	Igfbpl1
GSTCD	Gstcd
XAB2	Xab2
ZNF799	Zfp799
PXT1	Pxt1
ESRRA	Esrra
BRI3BP	Bri3bp
TAOK2	Taok2
KIAA1383	4933403G14Rik
ESRRB	Esrrb
PAIP2	Paip2
TAOK1	Taok1
PAIP1	Paip1
TAOK3	Taok3
ESRRG	Esrrg
UBE2L6	Ube2l6
IGIP	6330403M23Rik
UBE2L3	Ube2l3
EIF4E1B	Eif4e1b
KIAA1377	AK129341
ZNFX1	Znfx1
UBE2G1	Ube2g1
UBE2G2	Ube2g2
KISS1	Kiss1
OR4A47	Olfr1256
GLCCI1	Glcci1
EIF4A3	Eif4a3
CACFD1	Cacfd1
MYRIP	Myrip
CBWD1	Cbwd1
EIF4A2	Eif4a2
EIF4A1	Eif4a1
ESRP1	Esrp1
ZNF746	Zfp746
ESRP2	Esrp2
THEM4	Them4
ZNF740	Zfp740
THEM5	Them5
SMR3A	Smr3a
THEM6	Them6
MEGF8	Megf8
MEGF9	Megf9
NNAT	Nnat
MTMR2	Mtmr2
MTMR3	Mtmr3
MTMR1	Mtmr1
ZNF750	Zfp750
MTMR9	Mtmr9
LYPLAL1	Lyplal1
MTMR6	Mtmr6
MTMR7	Mtmr7
MTMR4	Mtmr4
SSRP1	Ssrp1
ZNF771	Zfp771
ZNF770	Zfp770
IGF1	Igf1
IGF2	Igf2
TIFAB	Tifab
UVSSA	Uvssa
WHSC1L1	Whsc1l1
ZNF761	Zfp51
MEGF6	Megf6
PSAT1	Psat1
ZNF768	Zfp768
NCBP2	Ncbp2
NCBP1	Ncbp1
SRCIN1	Srcin1
ATOX1	Atox1
KIAA1324	5330417C22Rik
KIAA1328	AW554918
KRTAP12-1	Krtap12-1
EIF4EBP3	Eif4ebp3
EIF4EBP1	Eif4ebp1
CDKN2A	Cdkn2a
EIF4EBP2	Eif4ebp2
CDKN2B	Cdkn2b
CDKN2C	Cdkn2c
MDFIC	Mdfic
FBXO27	Fbxo27
CDKN2D	Cdkn2d
FBXO28	Fbxo28
FBXO25	Fbxo25
FBXO24	Fbxo24
FBXO21	Fbxo21
FBXO22	Fbxo22
NCBP3	Ncbp3
DYX1C1	Dyx1c1
PPDPF	Ppdpf
MRTO4	Mrto4
HIF1A	Hif1a
FBXO16	Fbxo16
FBXO17	Fbxo17
ATP9B	Atp9b
ATP9A	Atp9a
FBXO18	Fbxo18
EDF1	Edf1
FBXO15	Fbxo15
FBXO10	Fbxo10
FBXO11	Fbxo11
ACTBL2	Actbl2
MAMDC4	Mamdc4
ADAMTSL1	Adamtsl1
FBXO40	Fbxo40
ADAMTSL2	Adamtsl2
MAMDC2	Mamdc2
ADAMTSL3	Adamtsl3
SETD1B	Setd1b
ADAMTSL4	Adamtsl4
SETD1A	Setd1a
ADAMTSL5	Adamtsl5
UBE2V1	Ube2v1
UBE2V2	Ube2v2
G6PC3	G6pc3
G6PC2	G6pc2
FICD	Ficd
GIMD1	Gimd1
FBXO43	Fbxo43
TMEM30B	Tmem30b
FBXO44	Fbxo44
FBXO41	Fbxo41
FBXO42	Fbxo42
FBXO47	Fbxo47
FBXO48	Fbxo48
TMEM30A	Tmem30a
FBXO45	Fbxo45
FBXO46	Fbxo46
FIBP	Fibp
MMAB	Mmab
MMAA	Mmaa
NMT2	Nmt2
ATP7A	Atp7a
CDKN1C	Cdkn1c
FBXO38	Fbxo38
PDZD7	Pdzd7
NMT1	Nmt1
FBXO39	Fbxo39
CDKN1A	Cdkn1a
PDZD8	Pdzd8
CDKN1B	Cdkn1b
PDZD9	Pdzd9
LVRN	Lvrn
FBXO30	Fbxo30
FBXO31	Fbxo31
FBXO32	Fbxo32
FBXO33	Fbxo33
FBXO34	Fbxo34
PDZD2	Pdzd2
PDZD3	Pdzd3
FBXO36	Fbxo36
PDZD4	Pdzd4
ATP7B	Atp7b
RSF1	Rsf1
OCM	Ocm
PREX1	Prex1
PREX2	Prex2
EDC4	Edc4
CYP3A43	Cyp3a59
L1TD1	L1td1
CCHCR1	Cchcr1
EDC3	Edc3
PIWIL1	Piwil1
PIWIL2	Piwil2
PIWIL4	Piwil4
INO80E	Ino80e
INO80D	Ino80d
INO80C	Ino80c
INO80B	Ino80b
TMEM38A	Tmem38a
STXBP1	Stxbp1
STXBP2	Stxbp2
STXBP3	Stxbp3
STXBP4	Stxbp4
EDAR	Edar
TMEM38B	Tmem38b
LOC200726	Gm20365
TNFSF13B	Tnfsf13b
STXBP6	Stxbp6
STXBP5	Stxbp5
SLC41A2	Slc41a2
SLC41A3	Slc41a3
SLC41A1	Slc41a1
SNX12	Snx12
OAT	Oat
SNX13	Snx13
PKDREJ	Pkdrej
SNX10	Snx10
SNX11	Snx11
SNX19	Snx19
SNX18	Snx18
SNX15	Snx15
SNX14	Snx14
THEGL	Thegl
SNX17	Snx17
SNX16	Snx16
TMEM35B	Tmem35b
TMEM35A	Tmem35a
OAF	Oaf
APLP2	Aplp2
APLP1	Aplp1
UBE2R2	Ube2r2
APLNR	Aplnr
CALML4	Calml4
CALML3	Calml3
FIGN	Fign
SNX21	Snx21
SNX22	Snx22
XAF1	Xaf1
CALML5	Calm4
SNX24	Snx24
FIGF	Figf
SNX20	Snx20
GSTA1	Gsta1
GSTA2	Gsta2
SECTM1	Sectm1a
RSG1	Rsg1
GSTA3	Gsta3
GSTA4	Gsta4
SNX29	Snx29
SNX27	Snx27
SNX25	Snx25
GRSF1	Grsf1
UBE2Q2	Ube2q2
FIG4	Fig4
UBE2Q1	Ube2q1
HIF3A	Hif3a
SNX32	Snx32
SNX33	Snx33
SNX30	Snx30
SNX31	Snx31
EDN3	Edn3
EDN2	Edn2
STAT5A	Stat5a
STAT5B	Stat5b
EDN1	Edn1
CNPPD1	Cnppd1
C4orf29	3110057O12Rik
NT5C3	Nt5c3
NT5C2	Nt5c2
ATP23	Atp23
C4orf27	2700029M09Rik
C4orf26	Gm1045
C4orf21	4930422G04Rik
FIZ1	Fiz1
CYHR1	Cyhr1
FHAD1	Fhad1
C4orf22	1700007G11Rik
RPUSD4	Rpusd4
KIAA0284	AW555464
RPUSD2	Rpusd2
SF3B14	0610009D07Rik
RPUSD3	Rpusd3
RPUSD1	Rpusd1
DCTN5	Dctn5
DCTN6	Dctn6
DCTN3	Dctn3
DCTN4	Dctn4
DCTN1	Dctn1
DCTN2	Dctn2
C4orf19	0610040J01Rik
C4orf17	4930579F01Rik
FAM177A1	Fam177a
ALDOA	Aldoa
LENEP	Lenep
ALDOC	Aldoc
C4orf40	4930432K09Rik
ALDOB	Aldob
CEP19	Cep19
TMEM229B	Tmem229b
CRAMP1L	Cramp1l
TMEM229A	Tmem229a
OTP	Otp
FAM65B	Fam65b
PLAGL1	Plagl1
FAM65A	Fam65a
FAM65C	Fam65c
KRAS	Kras
C4orf45	Gm17359
C4orf47	1700029J07Rik
LENG1	Leng1
KIAA0247	4933426M11Rik
C4orf46	4930579G24Rik
C4orf49	4930583H14Rik
PLAGL2	Plagl2
C4orf48	Gm1673
TMCO5B	Tmco5b
TMCO5A	Tmco5
AREGB	Areg
TMEM39A	Tmem39a
TMEM39B	Tmem39b
FAM64A	Fam64a
SRPX2	Srpx2
C4orf34	1110003E01Rik
C4orf33	D3Ertd751e
C4orf32	5730508B09Rik
C4orf37	B930007M17Rik
C4orf36	1700016H13Rik
NNMT	Nnmt
ZMAT1	Zmat1
ATP5D	Atp5d
ATP5E	Atp5e
COX14	Cox14
COX11	Cox11
PXDN	Pxdn
ZMAT5	Zmat5
ZMAT4	Zmat4
COX10	Cox10
ATP5B	Atp5b
ZMAT3	Zmat3
ZMAT2	Zmat2
SENP8	Senp8
SENP5	Senp5
SLC26A1	Slc26a1
SLC26A2	Slc26a2
SENP7	Senp7
MCF2L	Mcf2l
SENP6	Senp6
PTGES	Ptges
GADL1	Gadl1
ATP5S	Atp5s
ATP5L	Atp5l
GNPAT	Gnpat
ATP5O	Atp5o
MMD2	Mmd2
COX19	Cox19
ATP5I	Atp5k
COX18	Cox18
ATP5H	Atp5h
COX17	Cox17
COX16	Cox16
COX15	Cox15
ATP5J	Atp5j
ATP4A	Atp4a
LIN52	Lin52
ATP4B	Atp4b
COX20	Cox20
LOC646627	2210415F13Rik
LENG9	Leng9
LENG8	Leng8
SENP2	Senp2
SLC26A4	Slc26a4
SLC26A3	Slc26a3
SENP3	Senp3
SLC26A6	Slc26a6
SLC26A5	Slc26a5
SENP1	Senp1
PTGDS	Ptgds
SLC26A8	Slc26a8
SLC26A7	Slc26a7
PTGDR	Ptgdr
SLC26A9	Slc26a9
SDCCAG3	Sdccag3
LIN54	Lin54
LIMS1	Lims1
SDCCAG8	Sdccag8
LIMS2	Lims2
FAM69B	Fam69b
FAM69A	Fam69a
OXT	Oxt
FAM69C	Fam69c
CYP4F22	Cyp4f39
STT3B	Stt3b
NCAPH	Ncaph
STT3A	Stt3a
NCAPG	Ncapg
BCL11B	Bcl11b
BCL11A	Bcl11a
UBXN1	Ubxn1
CYP4F11	Cyp4f40
CYP4F12	Cyp4f14
PTGFR	Ptgfr
TP53RK	Trp53rk
AREL1	Arel1
GOLPH3	Golph3
UBXN8	Ubxn8
LIN37	Lin37
UBXN7	Ubxn7
UBXN6	Ubxn6
UBXN4	Ubxn4
MRPS36	Mrps36
MRPS35	Mrps35
CEP72	Cep72
MRPS34	Mrps34
MRPS33	Mrps33
CEP76	Cep76
MMP9	Mmp9
ZNF821	Zfp821
CEP78	Cep78
MMP8	Mmp8
ZNF827	Zfp827
MMP7	Mmp7
OR6C65	Olfr798
MMP3	Mmp3
COX5A	Cox5a
MMP2	Mmp2
MRPS31	Mrps31
COX5B	Cox5b
MRPS30	Mrps30
MMP1	Mmp1a
CEP70	Cep70
TAPBP	Tapbp
EIF3CL	Eif3c
PTGIR	Ptgir
ATOH1	Atoh1
PTGIS	Ptgis
ATOH8	Atoh8
GNL2	Gnl2
ATOH7	Atoh7
GNL1	Gnl1
GNL3	Gnl3
CEP85	Cep85
INADL	Inadl
CEP83	Cep83
RRP1	Rrp1
CEP89	Cep89
ZNF813	Zfp677
RRP8	Rrp8
RRP9	Rrp9
CHPT1	Chpt1
COX6C	Cox6c
SLC37A1	Slc37a1
SLC37A2	Slc37a2
ZNF845	Zfp825
CEP97	Cep97
MRPS17	Mrps17
MRPS16	Mrps16
MRPS15	Mrps15
MRPS14	Mrps14
MRPS12	Mrps12
CEP95	Cep95
COX7B	Cox7b
MRPS11	Mrps11
COX7C	Cox7c
MRPS10	Mrps10
NEDD9	Nedd9
NEDD8	Nedd8
ZNF846	Zfp846
FIS1	Fis1
UBE2D3	Ube2d3
UBE2D2	Ube2d2
OPALIN	Opalin
QTRTD1	Qtrtd1
GNMT	Gnmt
UBE2D1	Ube2d1
PGGT1B	Pggt1b
SETDB1	Setdb1
MRPS27	Mrps27
MRPS26	Mrps26
ZNF831	Zfp831
MRPS28	Mrps28
SETDB2	Setdb2
CARD9	Card9
MRPS23	Mrps23
COX8C	Cox8c
MRPS22	Mrps22
MMADHC	Mmadhc
MRPS25	Mrps25
ZNF830	Zfp830
MRPS24	Mrps24
COX8A	Cox8a
OMP	Omp
LIN7B	Lin7b
OR6C74	Olfr821
ZNF839	Zfp839
LIN7C	Lin7c
OR6C76	Olfr809
MRPS21	Mrps21
OR6C75	Olfr790
CARD6	Card6
LIN7A	Lin7a
UBE2E3	Ube2e3
NEDD1	Nedd1
OMD	Omd
NEDD4	Nedd4
OR4A15	Olfr1239
OR4A16	Olfr1240
ALDH2	Aldh2
CIRBP	Cirbp
RRS1	Rrs1
OMG	Omg
UBE2E2	Ube2e2
UBE2E1	Ube2e1
CRYZL1	Cryzl1
ARHGAP10	Arhgap10
RITA1	Rita1
KIAA0226	1700021K19Rik
ARHGAP19	Arhgap19
ARHGAP18	Arhgap18
ARHGAP17	Arhgap17
FAM63A	Fam63a
ARHGAP15	Arhgap15
FAM63B	Fam63b
ARHGAP12	Arhgap12
OS9	Os9
ARHGAP21	Arhgap21
ARHGAP22	Arhgap22
ARHGAP20	Arhgap20
SERAC1	Serac1
KIAA0232	D5Ertd579e
LAIR1	Lair1
DMRT3	Dmrt3
OTC	Otc
CEP41	Cep41
DMRT1	Dmrt1
ARHGAP28	Arhgap28
ARHGAP27	Arhgap27
DMRT2	Dmrt2
ARHGAP29	Arhgap29
ARHGAP24	Arhgap24
ARHGAP23	Arhgap23
CEP44	Cep44
ARHGAP26	Arhgap26
ARHGAP25	Arhgap25
OSM	Osm
ARHGAP30	Arhgap30
ARHGAP31	Arhgap31
JOSD1	Josd1
ARHGAP32	Arhgap32
ARHGAP33	Arhgap33
APITD1	Apitd1
JOSD2	Josd2
C4orf52	1810013D10Rik
C4orf51	1700011L22Rik
KIAA0240	BC032203
MUM1L1	Mum1l1
SLC37A3	Slc37a3
SLC37A4	Slc37a4
ZNF800	Zfp800
ARHGAP36	Arhgap36
ARHGAP35	Arhgap35
CEP55	Cep55
12-Sep	12-Sep
ARHGAP39	Arhgap39
ARHGAP40	Arhgap40
CEP57	Cep57
ARHGAP44	Arhgap44
ARHGAP42	Arhgap42
RUNDC2A	Rundc2a
APMAP	Apmap
RSL24D1	Rsl24d1
BOD1L	Bod1l
TMBIM6	Tmbim6
TMBIM4	Tmbim4
ARHGAP45	Arhgap45
TMBIM1	Tmbim1
CEP63	Cep63
FAM60A	Fam60a
CEP68	Cep68
TRPC4AP	Trpc4ap
NRN1L	Nrn1l
COMTD1	Comtd1
FHIT	Fhit
LTBP1	Ltbp1
LTBP2	Ltbp2
PTGS2	Ptgs2
LTBP3	Ltbp3
PGF	Pgf
VTCN1	Vtcn1
PGC	Pgc
LTBP4	Ltbp4
PGD	Pgd
PTGS1	Ptgs1
NAA15	Naa15
NAA16	Naa16
KIAA1274	X99384
NSRP1	Nsrp1
TVP23B	Tvp23b
CTNNB1	Ctnnb1
GNG8	Gng8
PGR	Pgr
PGP	Pgp
NAA11	Naa11
NAA10	Naa10
CH25H	Ch25h
GNG2	Gng2
GNG3	Gng3
MTERFD2	Mterfd2
GNG4	Gng4
GNG5	Gng5
MTERFD3	Mterfd3
GNG7	Gng7
MTERFD1	Mterfd1
TYRO3	Tyro3
KRR1	Krr1
MDH1B	Mdh1b
ADAMTS20	Adamts20
NAA25	Naa25
ZUFSP	Zufsp
YIF1B	Yif1b
CTNNA1	Ctnna1
YIF1A	Yif1a
RPTOR	Rptor
CTNNA3	Ctnna3
CTNNA2	Ctnna2
NAA20	Naa20
C18orf25	8030462N17Rik
RHPN1	Rhpn1
RHPN2	Rhpn2
PTH1R	Pth1r
RUNDC3B	Rundc3b
RUNDC3A	Rundc3a
RIIAD1	Riiad1
PPCDC	Ppcdc
NAA38	Naa38
NAA35	Naa35
ATP6V0B	Atp6v0b
ATP6V0C	Atp6v0c
HESX1	Hesx1
RILPL1	Rilpl1
RILPL2	Rilpl2
NAA30	Naa30
PIR	Pir
PIP	Pip
VEZF1	Vezf1
PTGR1	Ptgr1
PTGR2	Ptgr2
PTH2R	Pth2r
PHB	Phb
C9orf9	1700026L06Rik
KIAA1279	2510003E04Rik
NAA40	Naa40
C9orf3	2010111I01Rik
CHRND	Chrnd
FCGBP	Fcgbp
CHRNE	Chrne
CHRNG	Chrng
GPR83	Gpr83
GNAZ	Gnaz
SH3RF1	Sh3rf1
GPR84	Gpr84
GPR85	Gpr85
LIMA1	Lima1
GPR82	Gpr82
PWWP2B	Pwwp2b
LTC4S	Ltc4s
GPR87	Gpr87
KHNYN	Khnyn
GPR88	Gpr88
NOCT	Noct
PKM	Pkm
NOD2	Nod2
NOD1	Nod1
HSF1	Hsf1
STRA8	Stra8
SMPDL3B	Smpdl3b
RRN3	Rrn3
ANKEF1	Ankef1
ZNF878	Zfp958
SMPDL3A	Smpdl3a
HSF2	Hsf2
PWWP2A	Pwwp2a
SLMAP	Slmap
HSF5	Hsf5
ZNF879	Zfp879
STRA6	Stra6
HSF4	Hsf4
SRPK3	Srpk3
SRPK2	Srpk2
GPR97	Gpr97
SRPK1	Srpk1
GPR98	Gpr98
GNAL	Gnal
14-Sep	14-Sep
IL18BP	Il18bp
GNB2	Gnb2
GNAQ	Gnaq
GNB1	Gnb1
RRM2	Rrm2
RRM1	Rrm1
GNB5	Gnb5
GNB4	Gnb4
KIAA1217	Etl4
GNB3	Gnb3
EIF5A2	Eif5a2
NHEJ1	Nhej1
TSPOAP1	Tspoap1
GPR61	Gpr61
GPR62	Gpr62
GPR63	Gpr63
FHL1	Fhl1
GPR64	Gpr64
GPR65	Gpr65
PML	Pml
NOB1	Nob1
FHL3	Fhl3
FAAP24	Faap24
FHL2	Fhl2
FHL5	Fhl5
GPR68	Gpr68
FAAP20	Faap20
HSCB	Hscb
APBB1IP	Apbb1ip
MYCBP2	Mycbp2
NPDC1	Npdc1
ZNF853	Zfp853
MMACHC	Mmachc
PET117	Pet117
LIMD2	Limd2
LIMD1	Limd1
PET112	Pet112l
MYSM1	Mysm1
ZBP1	Zbp1
CAPN6	Capn6
CAPN7	Capn7
TMPRSS2	Tmprss2
CAPN5	Capn5
GPR75	Gpr75
KIAA1244	D10Bwg1379e
CAPN8	Capn8
CAPN9	Capn9
TMPRSS9	Tmprss9
MXRA7	Mxra7
TMPRSS7	Tmprss7
GPR77	Gpr77
MXRA8	Mxra8
NOA1	Noa1
TMPRSS5	Tmprss5
CAPN2	Capn2
CAPN3	Capn3
TMPRSS6	Tmprss6
TMPRSS3	Tmprss3
PLG	Plg
TMPRSS4	Tmprss4
CAPN1	Capn1
DOT1L	Dot1l
ZNF865	Zfp865
BCORL1	Bcorl1
PLN	Pln
MCFD2	Mcfd2
SH3RF3	Sh3rf3
LIME1	Lime1
SH3RF2	Sh3rf2
LOC388946	1700090G07Rik
KIAA1239	3110047P20Rik
PET100	Pet100
METTL21B	LOC100504608
METTL21A	Mettl21a
IQGAP3	Iqgap3
IQGAP2	Iqgap2
RRAD	Rrad
IQGAP1	Iqgap1
DAB2	Dab2
DAB1	Dab1
GPR45	Gpr45
SLMO2	Slmo2
SLMO1	Slmo1
RRAS	Rras
METTL21C	Mettl21c
METTL21D	Mettl21d
TMEM205	Tmem205
TMEM206	Tmem206
TMEM203	Tmem203
TMEM204	Tmem204
TMEM201	Tmem201
TMEM202	Tmem202
NCALD	Ncald
MND1	Mnd1
AJAP1	Ajap1
TMEM209	Tmem209
TMEM207	Tmem207
DDIT3	Ddit3
DDIT4	Ddit4
TMEM208	Tmem208
NCAM1	Ncam1
NCAM2	Ncam2
GPR55	Gpr55
KIAA0090	C230096C10Rik
GPR56	Gpr56
KIR3DL3	Kir3dl1
MNDA	Mnda
GPR50	Gpr50
GPR52	Gpr52
SLC40A1	Slc40a1
KIR3DL1	Kir3dl1
KIR3DL2	Kir3dl2
TMEM210	Tmem210
FAM160B2	Fam160b2
TMEM211	Tmem211
CAMTA1	Camta1
FAM160B1	Fam160b1
PAM	Pam
CAMTA2	Camta2
TMEM212	Tmem212
TMEM213	Tmem213
TMEM214	Tmem214
TMEM215	Tmem215
TMEM216	Tmem216
TMEM217	Tmem217
NKAIN2	Nkain2
TMEM218	Tmem218
NKAIN1	Nkain1
TMEM219	Tmem219
CDC42SE1	Cdc42se1
NKAIN4	Nkain4
PAH	Pah
NKAIN3	Nkain3
CAPS2	Caps2
ECE2	Ece2
GPR22	Gpr22
GPR21	Gpr21
ECE1	Ece1
METTL3	Mettl3
GPR27	Gpr27
METTL1	Mettl1
GPR26	Gpr26
GPR25	Gpr25
ANKDD1A	Ankdd1a
B4GALT6	B4galt6
GPR20	Gpr20
KIAA1211	C530008M17Rik
KRI1	Kri1
B4GALT7	B4galt7
ANKDD1B	Ankdd1b
B4GALT4	B4galt4
B4GALT5	B4galt5
IFT140	Ift140
TMEM223	Tmem223
B4GALT1	B4galt1
FAM160A2	Fam160a2
TMEM221	Tmem221
FAM160A1	Fam160a1
B4GALT3	B4galt3
B4GALT2	B4galt2
TMEM222	Tmem222
TMEM225	Tmem225
IREB2	Ireb2
SUV39H1	Suv39h1
SUV39H2	Suv39h2
GPR33	Gpr33
GPR35	Gpr35
GPR34	Gpr34
GPR37	Gpr37
CDC42SE2	Cdc42se2
GPR39	Gpr39
CEND1	Cend1
TMEM220	Tmem220
PRDX4	Prdx4
TMEM237	Tmem237
TMEM236	Tmem236
PRDX5	Prdx5
TMEM239	Tmem239
PRDX2	Prdx2
TMEM238	Tmem238
PRDX3	Prdx3
TMEM233	Tmem233
PRDX1	Prdx1
TMEM232	Tmem232
TMEM235	Tmem235
TMEM234	Tmem234
TMEM230	Tmem230
TMEM231	Tmem231
KRTAP11-1	Krtap11-1
C18orf42	A330050F15Rik
METTL9	Mettl9
METTL8	Mettl8
LIMK2	Limk2
METTL5	Mettl5
GPR19	Gpr19
LIMK1	Limk1
GPR18	Gpr18
METTL4	Mettl4
CAPSL	Capsl
METTL6	Mettl6
ATP6V1H	Atp6v1h
SRPRA	Srpr
TMEM248	Tmem248
TMEM247	Tmem247
SRPRB	Srprb
TOPORS	Topors
PBK	Pbk
TMEM246	Tmem246
KIDINS220	Kidins220
TMEM245	Tmem245
ATP6V1D	Atp6v1d
TMEM243	Tmem243
ATP6V1F	Atp6v1f
TMEM241	Tmem241
ATP6V1A	Atp6v1a
TMEM242	Tmem242
CHRM5	Chrm5
TMEM240	Tmem240
CHRM4	Chrm4
CHRM3	Chrm3
PRDX6	Prdx6
CHRM2	Chrm2
ULBP1	Ulbp1
ZFAND2A	Zfand2a
